masked.ip.id,age,gender,ethnicity,hispanic,SubjectId,Captcha1,Captcha2,Consent,UseData,BlackSuspect,RaceCheck,GenderCheck,WeaponCheck,PrintCheck,WhiteSuspect,RaceCheck_w,GenderCheck_w,WeaponCheck_w,PrintCheck_w,Masculine_1,Masculine_2,Masculine_3,Masculine_4,Masculine_5,Feminine_7,Feminine_8,Feminine_9,Feminine_10,SuspectPain_1,SuspectPain_2,SuspectPain_3,SuspectFault_1,SuspectFault_2,SuspectFault_3,OfficerFault_1,OfficerFault_2,OfficerFault_3,BeneSexism_1,BeneSexism_2,BeneSexism_3,BeneSexism_4,BeneSexism_5,HostSexism_1,HostSexism_2,HostSexism_3,HostSexism_4,HostSexism_5,HostSexism_6
235,36,1,1,1,4046,1,CAP,1,1,1,0,0,0,0,NA,NA,NA,NA,NA,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,6,5,6,6,6,6,5,5,6,6,6
236,21,1,16,1,3046,1,CAP,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
237,67,2,1,1,8212,1,CAP,1,0,1,1,1,1,1,NA,NA,NA,NA,NA,61,61,55,64,44,34,32,31,29,73,64,24,76,87,83,72,65,37,4,4,5,3,4,4,3,1,4,3,4
238,69,2,2,1,6564,1,Cap,1,1,NA,NA,NA,NA,NA,1,1,1,1,1,39,65,40,41,68,0,0,0,62,70,78,77,64,63,32,71,69,34,6,1,6,5,2,1,1,1,1,1,2
239,49,2,1,1,6451,1,CAP,1,1,NA,NA,NA,NA,NA,1,1,1,1,1,51,51,51,23,56,14,14,16,13,20,31,23,51,51,51,42,42,82,4,2,5,1,5,1,1,1,1,1,1
240,20,2,1,1,9420,1,Cap,1,1,1,0,1,0,0,NA,NA,NA,NA,NA,16,32,46,63,70,68,57,30,51,67,90,79,30,65,88,68,33,70,5,5,6,2,5,3,3,6,1,5,4
240,20,2,1,1,1661,1,CAP,1,1,NA,NA,NA,NA,NA,1,1,1,0,0,62,68,21,25,68,69,68,86,89,81,32,73,65,44,65,75,45,78,3,4,5,1,4,3,2,5,3,4,2
241,59,1,1,1,7850,1,CAP,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
242,21,2,1,1,2653,1,CAP,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,70,75,60,57,61,54,53,54,48,42,41,62,83,67,59,91,63,64,6,5,4,6,5,6,5,3,6,5,4
243,20,1,16,2,3714,1,Cap,1,1,NA,NA,NA,NA,NA,1,0,0,0,0,36,NA,80,NA,50,100,100,100,100,88,91,67,76,77,80,58,62,59,1,2,2,2,2,1,2,3,6,5,4
244,49,1,15,1,9482,1,cab,1,1,1,0,0,0,0,NA,NA,NA,NA,NA,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,5,5,5,5,6,1,1,1,1,1,1
